#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621541951, 0.0, 4.903, 0.134, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621542466, 0.0, 4.903, 0.118, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621542977, 0.0, 4.825, 0.123, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621543490, 0.0, 4.786, 0.203, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621544001, 0.0, 4.825, 0.142, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621544513, 0.0, 4.864, 0.133, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621545027, 0.0, 4.747, 0.171, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621545541, 0.0, 4.786, 0.126, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621546051, 0.0, 4.786, 0.16, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621546565, 0.0, 4.825, 0.133, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621547074, 0.0, 4.747, 0.171, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621547586, 0.0, 4.825, 0.168, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621548096, 0.0, 4.552, 0.371, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
